meter,n_records,kwh_mean,kwh_std,kwh_cv,kwh_p95,kwh_max,v_mean,v_std,v_cv,v_min,v_max,v_pct_outside_band,f_mean,f_std,f_min,f_max,f_pct_outside_band,i_mean,i_p95,i_max,v_i_corr,kwh_v_corr,kwh_ramp_mean,kwh_ramp_p95,v_ramp_mean,v_ramp_p95,kmeans_cluster
BR27,5722,0.0205891296749388,0.0205044793425877,0.9958885910338334,0.056,0.176,219.0477823507709,44.78829821219755,0.2044681654912902,0.0,295.583,0.5877315623907725,47.4383741795798,8.948866306073572,0.0,50.324,0.1562390772457182,0.2971911433453726,0.7769499999999997,2.399,-0.1170788914039698,-0.0471529907834871,0.0061844083202237,0.031,13.848801646953715,87.08,0
BR28,7872,0.1569907266260162,0.0781206715568154,0.4976132873307523,0.295,0.486,226.70082583841463,36.49721863530987,0.1609928790525181,0.0,294.821,0.4696392276422764,48.462769181910566,7.491520968467544,0.0,50.266000000000005,0.0987042682926829,1.532130462398374,2.954,5.0920000000000005,0.1177518491715744,0.1658725900820227,0.0307330707661034,0.102,7.841398424596621,43.21699999999999,0
BR29,7632,0.1454709119496855,0.1135617956157081,0.7806495064455644,0.329,0.719,222.3056269654088,33.93187592419395,0.152636154052339,0.0,291.064,0.6740041928721174,48.4804858490566,7.095251595195077,0.0,50.269,0.1086215932914046,1.356384827044025,2.9859,6.458,0.0846937720943587,0.1098297043091614,0.0307528502162233,0.1099999999999999,8.915623378325252,50.116,0
BR30,4272,0.0508813202247191,0.0457292962862165,0.8987442952394219,0.1374499999999998,0.298,235.42391970973785,28.959536002879915,0.1230101683745012,0.0,287.817,0.2116104868913857,49.059591760299625,5.697579637330672,0.0,50.179,0.0695224719101123,0.4621769662921348,1.185,12.810999999999998,0.0178096929805808,0.0303163537145687,0.0119894638258019,0.048,6.0816553500351205,24.610500000000016,0
BR31,7632,0.3099731394129979,0.3326865560561047,1.073275435046145,1.0108999999999997,2.366,228.10562735849055,35.91332138029066,0.157441628232386,0.0,250.822,0.3532494758909853,48.47088338574424,7.494464502626678,0.0,50.267,0.0974842767295597,2.7797422693920333,8.85425,20.277,0.0512367864808086,0.0638981998958142,0.1674509238631896,0.6739999999999999,7.766608046127637,45.69000000000001,3
BR32,6432,0.1533801305970149,0.1170299037845906,0.7630056339700907,0.366,0.726,211.21744916044776,80.06054540815965,0.3790432358992415,0.0,316.839,0.599502487562189,42.38985105721393,15.667152058193986,0.0,50.224,0.2898009950248756,1.481798041044776,3.641000000000001,6.559,0.345881836815593,0.4208395451410661,0.0569295599440211,0.2139999999999999,29.280862696314728,163.253,2
BR33,6576,0.0702446776155717,0.0631342119370715,0.8987757376094212,0.196,0.392,202.205849756691,76.12149414360866,0.3764554499051519,0.0,313.999,0.5635644768856448,42.4288371350365,15.621955530732809,0.0,50.391000000000005,0.2884732360097323,0.8702895377128954,2.4735,6.21,0.287490206497409,0.3688700891477513,0.0268223574144486,0.106,28.310334752851716,155.7355999999999,1
BR34,6459,0.0876477782938535,0.1432337950763346,1.6341976700894785,0.198,1.281,217.88970052123656,81.04387913444981,0.3719491051691582,0.0,309.49,0.6668214893946431,42.47624109339251,15.641327548220085,0.0,50.695,0.2890540331320638,0.7597993153394919,1.642,10.534,0.1627067066277619,0.1803537253658118,0.0266763703933106,0.117,29.6275876432332,169.42734999999988,1
BR35,6768,0.2016346040189125,0.1777810686639957,0.8816991980568999,0.543,1.436,201.03184249408983,81.3671204422905,0.4047474242528649,0.0,327.60900000000004,0.5626477541371159,41.81530998817966,16.316563048670574,0.0,51.517,0.2953605200945626,1.923957890070922,5.3211999999999975,14.938,0.2365375444912205,0.2970205610322838,0.0876044037239544,0.343,28.2905640608837,154.4371,2
BR36,5856,0.1796808401639344,0.134130701193304,0.7464941786276597,0.445,0.759,202.7318761953552,76.88454765153675,0.3792425201917914,0.0,304.342,0.5124658469945356,42.653771345628414,15.61568584825847,0.0,50.263,0.2827868852459016,1.8510233948087436,4.5715,8.769,0.2911463160129838,0.3326169591554588,0.0632560204953031,0.248,25.939067634500425,150.255,2
BR37,6768,0.2405524527186761,0.1720448387412517,0.71520716915099,0.5016499999999996,1.964,220.69866445035464,82.7604997616736,0.3749932060884323,0.0,278.106,0.8057033096926713,42.402794621749415,15.71783375240562,0.0,50.221,0.2842789598108747,2.548220005910166,4.95065,15.229,0.5232929812396713,0.4700668891992134,0.077132702822521,0.328,29.97233116595242,177.0574,2
BR38,5616,0.2093441951566951,0.2611613345884459,1.2475212622588625,0.836,1.863,211.6774932336182,77.28387244070242,0.3651019825495002,0.0,298.989,0.3664529914529914,42.75832104700855,15.435680979301605,0.0,50.56,0.2681623931623931,1.7952818732193732,7.26075,16.369999999999997,0.2039306898523833,0.2235200803544386,0.0949342831700801,0.445,26.94484577025824,157.00180000000017,2
BR39,5472,0.0617088815789473,0.0643764422064453,1.043228147379162,0.188,0.312,225.97655281432748,83.37983400543364,0.36897559931336,0.0,283.54200000000003,0.8662280701754386,42.44661184210526,15.527408372398002,0.0,54.096,0.2889254385964912,0.5717081505847954,1.6752499999999992,2.79,0.3130082585096087,0.3347312634857133,0.0163681228294644,0.076,31.74872929994517,181.35,1
BR42,6048,0.0072010582010582,0.0400702325238765,5.564492246151845,0.0,0.753,204.75760648148147,64.45054361032844,0.3147650762178519,0.0,277.188,0.5949074074074074,44.752442625661374,13.259878077384531,0.0,50.633,0.2164351851851851,0.0693728505291005,0.003,7.162000000000001,0.0360892081382273,0.0410092914108048,0.0024216967091119,0.0,21.674257483049445,129.34830000000002,1
BR43,4752,0.0385999579124579,0.034834746901092,0.9024555669230228,0.098,0.195,202.39026683501683,65.89947440703195,0.3256059465584451,0.0,266.579,0.6087962962962963,44.50349768518518,13.647992131952602,0.0,50.18,0.2184343434343434,0.3709459175084175,0.92745,1.686,0.246488741088028,0.2859817321361364,0.0094184382235318,0.0469999999999999,21.409458219322243,128.261,1
BR44,6144,0.0286997070312499,0.056830426467988,1.980174445896176,0.158,0.726,228.2174396158854,68.55730892855442,0.300403461908712,0.0,279.068,0.5540364583333334,44.92942171223958,13.264046673740577,0.0,50.47,0.2014973958333333,0.2439116210937499,1.3378499999999995,5.891,0.0660276410210739,0.0828625975126956,0.0110750447664007,0.066,22.256148461663685,146.9586,1
BR45,6288,0.2980510496183206,0.3039565406317523,1.01981368970515,1.013,1.975,232.67810671119597,68.67754891843589,0.2951611988302777,0.0,319.608,0.6366094147582697,45.0641550572519,13.113500824129822,0.0,50.19,0.1940203562340967,2.455209764631044,8.353299999999999,17.654,0.179090032216689,0.1947538417195272,0.1011746460951169,0.442,21.752578813424524,149.94179999999997,2
BR46,5472,0.0507637061403508,0.0443060373383163,0.8727896504605004,0.126,0.432,226.8307849049708,70.31667756057647,0.3099961832342782,0.0,287.241,0.5299707602339181,44.71604203216374,13.68646141895731,0.0,50.185,0.1951754385964912,0.4286482090643275,1.02045,3.891,0.3350641530472151,0.3449026066005012,0.01742332297569,0.062,22.32312739901298,150.90200000000002,1
